S.NO,Submitted Time,"1. Wenn ich Pläne habe, verfolge ich sie auch.",2. Normalerweise schaffe ich alles irgendwie.,3. Ich mag mich ,"4. Ich weiß, dass ich noch in der Ausbildung bin und verzeihe mir Fehler",5. Ich kann mehrere Dinge gleichzeitig bewältigen.,6. Ich finde auch in herausfordernden Situationen Dinge über die ich lachen kann.,7. Normalerweise kann ich eine Situation aus mehreren Perspektiven betrachten.,"8. Ich kann mich auch überwinden Dinge zu tun, die ich eigentlich nicht machen will.","9. In mir steckt genügend Energie um alles zu machen, was ich machen muss.","10. Ich bin mir sicher, dass ich das Studium schaffen werde.",11. Wie wichtig ist mir Achtsamkeit?,12. In stressigen Momenten auf Arbeit versuche ich bei mir zu bleiben und mein Umfeld und meine Gefühle gezielt wahrzunehmen.,"13. Ich vergesse es oft, meine eigenen Bedürfnisse (Essen, Trinken, Toilettengang) im Arbeitsalltag wahrzunehmen und zu erfüllen.",14. Am Ende meines Arbeitstages versuche ich den Tag Revue zu passieren und meinen körperlichen und emotionalen Zustand wahrzunehmen.,15. Ich mache regelmäßig eine von folgenden Achtsamkeitsübungen ,16. Falls Du in der Frage zuvor 'andere' gewählt hast. Beschreibe die Achtsamkeitsübungen Deiner Wahl,17. Hättest Du Interesse an Angeboten der Hochschule zur Achtsamkeitsförderung?
1,22-11-2024 15:08:29,stimmt meistens zu,stimmt meistens zu ,stimmt manchmal zu,stimmt manchmal zu ,stimmt meistens zu ,stimmt manchmal zu,stimmt manchmal zu ,stimmt meistens zu,stimmt manchmal zu ,stimmt nicht zu,wichtig,stimmt manchmal zu ,stimmt meistens zu ,manchmal,Bewusstes Atmen/ Atemübungen ,No Answer,"ich habe keinen Bedarf, aber finde es sinnvoll "
2,22-11-2024 15:08:43,stimmt meistens zu,stimmt meistens zu ,stimmt zu ,stimmt zu,stimmt meistens zu ,stimmt zu,stimmt zu,stimmt meistens zu,stimmt meistens zu,stimmt zu ,sehr wichtig ,stimmt manchmal zu ,stimmt zu,oft,andere ,Beten,"ich habe keinen Bedarf, aber finde es sinnvoll "
3,22-11-2024 15:15:02,stimmt meistens zu,stimmt zu,stimmt zu ,stimmt meistens zu ,stimmt zu,stimmt meistens zu ,stimmt zu,stimmt manchmal zu ,stimmt meistens zu,stimmt meistens zu ,sehr wichtig ,stimmt manchmal zu ,stimmt meistens zu ,oft,Mehrere davon  (others),No Answer,"ich habe keinen Bedarf, aber finde es sinnvoll "
4,22-11-2024 15:17:30,stimmt meistens zu,stimmt meistens zu ,stimmt zu ,stimmt meistens zu ,stimmt meistens zu ,stimmt meistens zu ,stimmt meistens zu,stimmt zu ,stimmt meistens zu,stimmt meistens zu ,wichtig,stimmt meistens zu ,stimmt zu,manchmal,"Mantras, positive Affirmationen ",No Answer,"Ja, sehr "
5,22-11-2024 15:17:52,stimmt zu ,stimmt zu,stimmt zu ,stimmt manchmal zu ,stimmt manchmal zu ,stimmt manchmal zu,stimmt manchmal zu ,stimmt meistens zu,stimmt meistens zu,stimmt meistens zu ,sehr wichtig ,stimmt manchmal zu ,stimmt manchmal zu ,oft,andere ,Yoga,es wäre mir egal
6,22-11-2024 15:33:22,stimmt meistens zu,stimmt meistens zu ,stimmt meistens zu,stimmt meistens zu ,stimmt zu,stimmt zu,stimmt zu,stimmt meistens zu,stimmt meistens zu,stimmt zu ,wichtig,stimmt manchmal zu ,stimmt meistens zu ,manchmal,ich praktiziere keine Achtsamkeitsübungen ,No Answer,"ich habe keinen Bedarf, aber finde es sinnvoll "
7,22-11-2024 15:34:09,stimmt meistens zu,stimmt zu,stimmt meistens zu,stimmt manchmal zu ,stimmt meistens zu ,stimmt manchmal zu,stimmt meistens zu,stimmt manchmal zu ,stimmt manchmal zu ,stimmt zu ,wichtig,stimmt meistens zu ,stimmt zu,oft,Tagebuch schreiben (others),Tagebuch schreiben,"Ja, sehr "
8,22-11-2024 16:00:43,stimmt meistens zu,stimmt zu,stimmt zu ,stimmt zu,stimmt meistens zu ,stimmt zu,stimmt zu,stimmt manchmal zu ,stimmt manchmal zu ,stimmt zu ,wichtig,stimmt nicht zu ,stimmt nicht zu ,oft,ich praktiziere keine Achtsamkeitsübungen ,No Answer,es wäre mir egal
9,22-11-2024 16:01:52,stimmt meistens zu,stimmt meistens zu ,stimmt zu ,stimmt manchmal zu ,stimmt meistens zu ,stimmt zu,stimmt meistens zu,stimmt meistens zu,stimmt meistens zu,stimmt meistens zu ,wichtig,stimmt manchmal zu ,stimmt nicht zu ,manchmal,ich praktiziere keine Achtsamkeitsübungen ,No Answer,"Ja, sehr "
10,22-11-2024 16:16:16,stimmt meistens zu,stimmt zu,stimmt meistens zu,stimmt meistens zu ,stimmt meistens zu ,stimmt manchmal zu,stimmt zu,stimmt zu ,stimmt zu,stimmt meistens zu ,neutral ,stimmt meistens zu ,stimmt zu,manchmal,ich praktiziere keine Achtsamkeitsübungen ,No Answer,es wäre mir egal
11,22-11-2024 18:27:27,stimmt meistens zu,stimmt meistens zu ,stimmt manchmal zu,stimmt manchmal zu ,stimmt meistens zu ,stimmt zu,stimmt zu,stimmt zu ,stimmt manchmal zu ,stimmt meistens zu ,neutral ,stimmt meistens zu ,stimmt zu,manchmal,ich praktiziere keine Achtsamkeitsübungen ,No Answer,"ich habe keinen Bedarf, aber finde es sinnvoll "
12,22-11-2024 18:38:00,stimmt meistens zu,stimmt meistens zu ,stimmt meistens zu,stimmt zu,stimmt zu,stimmt zu,stimmt zu,stimmt zu ,stimmt meistens zu,stimmt zu ,wichtig,stimmt manchmal zu ,stimmt manchmal zu ,nie,Bewusstes Atmen/ Atemübungen ,No Answer,"Ja, sehr "
13,22-11-2024 19:52:33,stimmt zu ,stimmt zu,stimmt meistens zu,stimmt meistens zu ,stimmt zu,stimmt zu,stimmt zu,stimmt meistens zu,stimmt meistens zu,stimmt meistens zu ,sehr wichtig ,stimmt zu,stimmt manchmal zu ,oft,Bewusstes Atmen/ Atemübungen ,No Answer,"Nein, ich sehe keinen Bedarf/ Vorteil daran"
14,23-11-2024 09:00:22,stimmt meistens zu,stimmt meistens zu ,stimmt manchmal zu,stimmt meistens zu ,stimmt zu,stimmt manchmal zu,stimmt manchmal zu ,stimmt nicht zu,stimmt manchmal zu ,stimmt meistens zu ,neutral ,stimmt manchmal zu ,stimmt zu,oft,ich praktiziere keine Achtsamkeitsübungen ,No Answer,"Ja, sehr "
15,23-11-2024 09:06:11,stimmt meistens zu,stimmt zu,stimmt meistens zu,stimmt zu,stimmt zu,stimmt zu,stimmt zu,stimmt meistens zu,stimmt meistens zu,stimmt zu ,wichtig,stimmt manchmal zu ,stimmt zu,oft,Bewusstes Atmen/ Atemübungen ,No Answer,"Ja, sehr "
16,23-11-2024 10:55:40,stimmt zu ,stimmt zu,stimmt meistens zu,stimmt meistens zu ,stimmt manchmal zu ,stimmt manchmal zu,stimmt meistens zu,stimmt zu ,stimmt manchmal zu ,stimmt meistens zu ,sehr wichtig ,stimmt manchmal zu ,stimmt zu,stimmt immer zu,Meditationsapps (zB 'Headspace'),No Answer,"ich habe keinen Bedarf, aber finde es sinnvoll "
17,24-11-2024 17:59:54,stimmt meistens zu,stimmt meistens zu ,stimmt meistens zu,stimmt manchmal zu ,stimmt meistens zu ,stimmt meistens zu ,stimmt meistens zu,stimmt manchmal zu ,stimmt nicht zu ,stimmt meistens zu ,wichtig,stimmt meistens zu ,stimmt meistens zu ,manchmal,andere ,"anhalten und die umgebung, die geräusche und den Himmel wahrnehmen","Ja, sehr "
18,10-12-2024 16:01:58,stimmt manchmal zu,stimmt meistens zu ,stimmt manchmal zu,stimmt manchmal zu ,stimmt meistens zu ,stimmt manchmal zu,stimmt meistens zu,stimmt manchmal zu ,stimmt nicht zu ,stimmt meistens zu ,neutral ,stimmt nicht zu ,stimmt zu,manchmal,keine (others),No Answer,es wäre mir egal
19,10-12-2024 16:02:38,stimmt meistens zu,stimmt meistens zu ,stimmt meistens zu,stimmt meistens zu ,stimmt zu,stimmt meistens zu ,stimmt zu,stimmt meistens zu,stimmt meistens zu,stimmt meistens zu ,neutral ,stimmt meistens zu ,stimmt meistens zu ,oft,Bewusstes Atmen/ Atemübungen ,No Answer,es wäre mir egal
20,10-12-2024 16:02:50,stimmt meistens zu,stimmt meistens zu ,stimmt meistens zu,stimmt manchmal zu ,stimmt meistens zu ,stimmt nicht zu ,stimmt meistens zu,stimmt manchmal zu ,stimmt manchmal zu ,stimmt nicht zu,wichtig,stimmt meistens zu ,stimmt zu,manchmal,ich praktiziere keine Achtsamkeitsübungen ,No Answer,"Nein, ich sehe keinen Bedarf/ Vorteil daran"
21,10-12-2024 16:02:54,stimmt meistens zu,stimmt zu,stimmt meistens zu,stimmt manchmal zu ,stimmt meistens zu ,stimmt meistens zu ,stimmt meistens zu,stimmt zu ,stimmt meistens zu,stimmt zu ,wichtig,stimmt manchmal zu ,stimmt manchmal zu ,manchmal,PmR+ bewusstes atmen + Affirmationen (da Mehrfachauswahl nicht möglich) (others),"Wollte mehrere Auswählen, deshalb habe ich das Feld angeklickt",es wäre mir egal
22,10-12-2024 16:03:42,stimmt manchmal zu,stimmt meistens zu ,stimmt manchmal zu,stimmt manchmal zu ,stimmt zu,stimmt meistens zu ,stimmt meistens zu,stimmt manchmal zu ,stimmt meistens zu,stimmt nicht zu,neutral ,stimmt manchmal zu ,stimmt zu,oft,ich praktiziere keine Achtsamkeitsübungen ,No Answer,"Ja, sehr "
23,10-12-2024 16:04:45,stimmt zu ,stimmt zu,stimmt meistens zu,stimmt meistens zu ,stimmt manchmal zu ,stimmt meistens zu ,stimmt meistens zu,stimmt manchmal zu ,stimmt meistens zu,stimmt zu ,neutral ,stimmt manchmal zu ,stimmt manchmal zu ,oft,ich praktiziere keine Achtsamkeitsübungen ,No Answer,"ich habe keinen Bedarf, aber finde es sinnvoll "
24,10-12-2024 16:07:23,stimmt meistens zu,stimmt zu,stimmt meistens zu,stimmt manchmal zu ,stimmt zu,stimmt meistens zu ,stimmt meistens zu,stimmt meistens zu,stimmt manchmal zu ,stimmt zu ,neutral ,stimmt nicht zu ,stimmt meistens zu ,oft,ich praktiziere keine Achtsamkeitsübungen ,No Answer,"Ja, sehr "
25,10-12-2024 16:11:28,stimmt meistens zu,stimmt meistens zu ,stimmt zu ,stimmt zu,stimmt zu,stimmt zu,stimmt meistens zu,stimmt meistens zu,stimmt meistens zu,stimmt zu ,wichtig,stimmt manchmal zu ,stimmt manchmal zu ,manchmal,ich praktiziere keine Achtsamkeitsübungen ,No Answer,"ich habe keinen Bedarf, aber finde es sinnvoll "
26,10-12-2024 16:38:15,stimmt meistens zu,stimmt meistens zu ,stimmt zu ,stimmt meistens zu ,stimmt zu,stimmt meistens zu ,stimmt meistens zu,stimmt zu ,stimmt meistens zu,stimmt zu ,neutral ,stimmt manchmal zu ,stimmt meistens zu ,manchmal,Meditationsapps (zB 'Headspace'),No Answer,"Ja, sehr "
27,10-12-2024 16:39:10,stimmt manchmal zu,stimmt manchmal zu ,stimmt meistens zu,stimmt meistens zu ,stimmt manchmal zu ,stimmt manchmal zu,stimmt meistens zu,stimmt manchmal zu ,stimmt nicht zu ,stimmt meistens zu ,wichtig,stimmt meistens zu ,stimmt manchmal zu ,manchmal,ich praktiziere keine Achtsamkeitsübungen ,No Answer,"Ja, sehr "
28,10-12-2024 16:46:39,stimmt zu ,stimmt zu,stimmt zu ,stimmt zu,stimmt zu,stimmt meistens zu ,stimmt meistens zu,stimmt meistens zu,stimmt meistens zu,stimmt zu ,wichtig,stimmt manchmal zu ,stimmt zu,oft,ich praktiziere keine Achtsamkeitsübungen ,No Answer,"Nein, ich sehe keinen Bedarf/ Vorteil daran"
29,10-12-2024 17:20:28,stimmt zu ,stimmt meistens zu ,stimmt meistens zu,stimmt meistens zu ,stimmt meistens zu ,stimmt meistens zu ,stimmt zu,stimmt zu ,stimmt meistens zu,stimmt zu ,wichtig,stimmt meistens zu ,stimmt manchmal zu ,oft,"Affirmationen UND bewusstes Atmen, Mehrfachauswahl nicht möglich  (others)",Zu 17: Sexismus/Rassismus/kapitalist. Leistungsdruck nicht durch individ. Achtsamkeit ausgleichbar!,"Nein, ich sehe keinen Bedarf/ Vorteil daran"
30,10-12-2024 20:57:27,stimmt meistens zu,stimmt manchmal zu ,stimmt manchmal zu,stimmt zu,stimmt zu,stimmt nicht zu ,stimmt zu,stimmt manchmal zu ,stimmt zu,stimmt manchmal zu ,wichtig,stimmt zu,stimmt manchmal zu ,oft,ich praktiziere keine Achtsamkeitsübungen ,No Answer,"Ja, sehr "
31,11-12-2024 11:53:22,stimmt meistens zu,stimmt zu,stimmt meistens zu,stimmt manchmal zu ,stimmt manchmal zu ,stimmt meistens zu ,stimmt meistens zu,stimmt meistens zu,stimmt meistens zu,stimmt meistens zu ,neutral ,stimmt meistens zu ,stimmt nicht zu ,oft,Bewusstes Atmen/ Atemübungen ,No Answer,"ich habe keinen Bedarf, aber finde es sinnvoll "
32,11-12-2024 11:53:47,stimmt meistens zu,stimmt meistens zu ,stimmt zu ,stimmt zu,stimmt manchmal zu ,stimmt meistens zu ,stimmt zu,stimmt zu ,stimmt meistens zu,stimmt zu ,wichtig,stimmt manchmal zu ,stimmt meistens zu ,oft,Bewusstes Atmen/ Atemübungen ,No Answer,"Ja, sehr "
33,11-12-2024 23:19:38,stimmt meistens zu,stimmt manchmal zu ,stimmt manchmal zu,stimmt manchmal zu ,stimmt manchmal zu ,stimmt meistens zu ,stimmt meistens zu,stimmt manchmal zu ,stimmt nicht zu ,stimmt nicht zu,neutral ,stimmt manchmal zu ,stimmt manchmal zu ,manchmal,Meditationsapps (zB 'Headspace'),No Answer,"Ja, sehr "
34,11-12-2024 23:25:06,stimmt meistens zu,stimmt meistens zu ,stimmt manchmal zu,stimmt nicht zu,stimmt manchmal zu ,stimmt manchmal zu,stimmt meistens zu,stimmt meistens zu,stimmt meistens zu,stimmt manchmal zu ,wichtig,stimmt manchmal zu ,stimmt zu,oft,"Mantras, positive Affirmationen ",No Answer,"Ja, sehr "
35,11-12-2024 23:38:41,stimmt zu ,stimmt meistens zu ,stimmt manchmal zu,stimmt manchmal zu ,stimmt zu,stimmt manchmal zu,stimmt meistens zu,stimmt zu ,stimmt meistens zu,stimmt zu ,sehr wichtig ,stimmt zu,stimmt manchmal zu ,manchmal,ich praktiziere keine Achtsamkeitsübungen ,No Answer,"ich habe keinen Bedarf, aber finde es sinnvoll "
36,12-12-2024 02:13:13,stimmt manchmal zu,stimmt meistens zu ,stimmt meistens zu,stimmt nicht zu,stimmt zu,stimmt meistens zu ,stimmt meistens zu,stimmt meistens zu,stimmt meistens zu,stimmt zu ,sehr wichtig ,stimmt zu,stimmt meistens zu ,stimmt immer zu,Body Scan,No Answer,"Ja, sehr "
37,12-12-2024 03:58:50,stimmt meistens zu,stimmt meistens zu ,stimmt meistens zu,stimmt meistens zu ,stimmt zu,stimmt manchmal zu,stimmt meistens zu,stimmt meistens zu,stimmt meistens zu,stimmt meistens zu ,neutral ,stimmt meistens zu ,stimmt manchmal zu ,manchmal,ich praktiziere keine Achtsamkeitsübungen ,No Answer,"Ja, sehr "
38,12-12-2024 05:59:25,stimmt meistens zu,stimmt meistens zu ,stimmt zu ,stimmt meistens zu ,stimmt meistens zu ,stimmt zu,stimmt meistens zu,stimmt meistens zu,stimmt meistens zu,stimmt zu ,wichtig,stimmt manchmal zu ,stimmt zu,oft,ich praktiziere keine Achtsamkeitsübungen ,No Answer,es wäre mir egal
39,12-12-2024 09:30:10,stimmt manchmal zu,stimmt zu,stimmt meistens zu,stimmt manchmal zu ,stimmt meistens zu ,stimmt zu,stimmt zu,stimmt meistens zu,stimmt zu,stimmt zu ,neutral ,stimmt manchmal zu ,stimmt meistens zu ,nie,ich praktiziere keine Achtsamkeitsübungen ,No Answer,"ich habe keinen Bedarf, aber finde es sinnvoll "
40,12-12-2024 09:54:08,stimmt zu ,stimmt meistens zu ,stimmt meistens zu,stimmt manchmal zu ,stimmt manchmal zu ,stimmt manchmal zu,stimmt meistens zu,stimmt meistens zu,stimmt manchmal zu ,stimmt manchmal zu ,neutral ,stimmt manchmal zu ,stimmt nicht zu ,oft,ich praktiziere keine Achtsamkeitsübungen ,No Answer,"Ja, sehr "
41,12-12-2024 10:37:17,stimmt zu ,stimmt meistens zu ,stimmt manchmal zu,stimmt manchmal zu ,stimmt meistens zu ,stimmt manchmal zu,stimmt meistens zu,stimmt meistens zu,stimmt meistens zu,stimmt meistens zu ,sehr wichtig ,stimmt meistens zu ,stimmt zu,manchmal,ich praktiziere keine Achtsamkeitsübungen ,No Answer,"Ja, sehr "
42,12-12-2024 12:03:24,stimmt zu ,stimmt zu,stimmt meistens zu,stimmt meistens zu ,stimmt zu,stimmt manchmal zu,stimmt meistens zu,stimmt zu ,stimmt zu,stimmt zu ,sehr wichtig ,stimmt zu,stimmt manchmal zu ,stimmt immer zu,ich praktiziere keine Achtsamkeitsübungen ,No Answer,"ich habe keinen Bedarf, aber finde es sinnvoll "
43,12-12-2024 13:18:51,stimmt meistens zu,stimmt meistens zu ,stimmt manchmal zu,stimmt nicht zu,stimmt meistens zu ,stimmt meistens zu ,stimmt meistens zu,stimmt manchmal zu ,stimmt meistens zu,stimmt meistens zu ,sehr wichtig ,stimmt manchmal zu ,stimmt meistens zu ,manchmal,ich praktiziere keine Achtsamkeitsübungen ,No Answer,"Ja, sehr "
44,12-12-2024 13:35:07,stimmt meistens zu,stimmt meistens zu ,stimmt nicht zu,stimmt manchmal zu ,stimmt meistens zu ,stimmt meistens zu ,stimmt meistens zu,stimmt zu ,stimmt meistens zu,stimmt meistens zu ,wichtig,stimmt nicht zu ,stimmt meistens zu ,oft,ich praktiziere keine Achtsamkeitsübungen ,No Answer,"ich habe keinen Bedarf, aber finde es sinnvoll "
45,13-12-2024 01:56:58,stimmt meistens zu,stimmt meistens zu ,stimmt meistens zu,stimmt manchmal zu ,stimmt manchmal zu ,stimmt manchmal zu,stimmt meistens zu,stimmt meistens zu,stimmt manchmal zu ,stimmt manchmal zu ,neutral ,stimmt nicht zu ,stimmt zu,oft,ich praktiziere keine Achtsamkeitsübungen ,No Answer,"Ja, sehr "
46,13-12-2024 12:42:47,stimmt meistens zu,stimmt zu,stimmt zu ,stimmt meistens zu ,stimmt meistens zu ,stimmt zu,stimmt zu,stimmt meistens zu,stimmt meistens zu,stimmt zu ,sehr wichtig ,stimmt meistens zu ,stimmt manchmal zu ,stimmt immer zu,ich praktiziere keine Achtsamkeitsübungen ,No Answer,"Ja, sehr "
